BATCH,Framework,TPM,Latency,First Token,decode,RPM,TPS,RPS,ms/Token,Error Ratio,Requests,AVG output Tokens
20,tgi-1.2.0-llama3-70b-stream,41864,2.16,2.0,0.04,109,697.73,1.81,1.43,0.0002,761,385
40,tgi-1.2.0-llama3-70b-stream,91351,0.64,4.0,0.02,236,1522.52,3.94,0.66,0.0077,585,386
60,tgi-1.2.0-llama3-70b-stream,122481,1.76,4.0,0.04,313,2041.35,5.22,0.49,0.0048,838,391
80,tgi-1.2.0-llama3-70b-stream,184765,1.65,4.0,0.07,442,3079.42,7.37,0.32,0.0075,512,418
100,tgi-1.2.0-llama3-70b-stream,235263,1.52,4.0,0.09,603,3921.05,10.05,0.26,0.0022,646,390
120,tgi-1.2.0-llama3-70b-stream,296032,1.56,4.0,0.01,727,4933.87,12.12,0.2,0.0013,430,407
140,tgi-1.2.0-llama3-70b-stream,355852,1.33,4.0,0.02,878,5930.87,14.64,0.17,0.0008,949,405
160,tgi-1.2.0-llama3-70b-stream,369266,2.49,4.0,0.01,890,6154.43,14.83,0.16,0.0094,438,415
180,tgi-1.2.0-llama3-70b-stream,471858,1.79,4.0,0.02,1222,7864.3,20.37,0.13,0.0041,517,386
200,tgi-1.2.0-llama3-70b-stream,434164,1.05,4.0,0.05,1061,7236.07,17.69,0.14,0.015,169,409
